EmployeeID,FirstName,LastName,Gender,Age,Department,Position,Country,City,Email,PhoneNumber,HireDate,Salary,Bonus,Manager,PerformanceScore,RemoteWork,ContractType,EmployeeStatus,LastPromotionDate
1,Emma,Brown,Male,37,Sales,Engineer,Spain,New York,employee1@example.com,-6129,29/05/2010,94345,12976,TRUE,B,FALSE,Contract,Terminated,18/03/2016
2,Sofia,Garcia,Female,28,Marketing,Specialist,Germany,Mumbai,employee2@example.com,-2932,06/03/2013,113900,15862,FALSE,C,TRUE,Part-time,Terminated,17/01/2023
3,Maria,Jones,Female,25,Marketing,Analyst,UK,Tokyo,employee3@example.com,-8445,13/10/2012,76047,9218,TRUE,B,TRUE,Contract,Active,23/07/2018
4,Alex,Johnson,Female,30,HR,Manager,Spain,Tokyo,employee4@example.com,-4771,23/07/2018,94065,10381,TRUE,B,TRUE,Full-time,Active,02/02/2016
5,Ava,Brown,Female,34,Customer Support,Assistant,Japan,Toronto,employee5@example.com,-3612,02/01/2010,44337,9991,FALSE,C,FALSE,Contract,Terminated,24/06/2018
6,Sofia,Smith,Male,33,Finance,Manager,UK,London,employee6@example.com,-3212,21/04/2016,73014,5411,FALSE,D,FALSE,Contract,Active,25/02/2019
7,Maria,Martinez,Male,41,HR,Assistant,Japan,Bogotá,employee7@example.com,-9043,23/03/2020,87231,1327,TRUE,B,TRUE,Full-time,Terminated,31/10/2022
8,Olivia,Lopez,Male,26,Customer Support,Manager,Germany,São Paulo,employee8@example.com,-9337,16/03/2012,85239,1889,TRUE,B,FALSE,Full-time,On Leave,21/01/2018
9,Liam,Miller,Female,32,Customer Support,Consultant,France,Madrid,employee9@example.com,-4397,16/04/2017,111891,2449,FALSE,C,TRUE,Part-time,Terminated,05/04/2023
10,Ethan,Jones,Male,35,Operations,Coordinator,USA,Tokyo,employee10@example.com,-6048,26/06/2010,59037,14563,TRUE,B,FALSE,Contract,Terminated,27/10/2023
11,Maria,Jones,Female,27,HR,Engineer,USA,Madrid,employee11@example.com,-4216,26/09/2014,85837,11487,TRUE,A,FALSE,Full-time,Active,29/05/2015
12,Emma,Johnson,Female,45,Legal,Manager,France,Toronto,employee12@example.com,-10536,02/12/2015,102498,1097,TRUE,C,FALSE,Full-time,On Leave,24/06/2022
13,Maria,Lopez,Male,28,Customer Support,Engineer,India,Bogotá,employee13@example.com,-1921,16/01/2017,45730,12001,TRUE,B,TRUE,Full-time,Active,17/03/2019
14,Olivia,Lopez,Female,49,HR,Assistant,Brazil,New York,employee14@example.com,-9088,29/04/2021,101155,13623,FALSE,D,FALSE,Part-time,Terminated,19/07/2022
15,Olivia,Williams,Female,59,Marketing,Specialist,Japan,Bogotá,employee15@example.com,-8274,30/08/2018,45392,16652,FALSE,A,TRUE,Contract,Active,24/11/2021
16,Ava,Davis,Male,56,Finance,Manager,UK,São Paulo,employee16@example.com,-2919,30/11/2021,63375,9572,TRUE,C,TRUE,Full-time,Terminated,26/05/2023
17,Alex,Davis,Male,50,Sales,Specialist,Japan,Berlin,employee17@example.com,-5448,05/10/2017,60417,12276,FALSE,D,TRUE,Full-time,Terminated,15/01/2020
18,Ethan,Miller,Male,58,IT,Coordinator,India,Madrid,employee18@example.com,-6204,14/03/2020,69582,782,TRUE,B,TRUE,Contract,Active,28/06/2022
19,Liam,Lopez,Female,24,HR,Coordinator,USA,Toronto,employee19@example.com,-1969,01/01/2016,94339,13993,TRUE,A,FALSE,Contract,On Leave,05/03/2020
20,Noah,Miller,Female,39,HR,Specialist,Japan,São Paulo,employee20@example.com,-6874,30/06/2020,67079,13024,FALSE,A,FALSE,Contract,On Leave,18/07/2022
21,Ava,Davis,Male,22,IT,Analyst,Brazil,London,employee21@example.com,-6753,10/02/2017,65622,16757,FALSE,D,TRUE,Full-time,Terminated,30/08/2021
22,Maria,Martinez,Male,39,Finance,Engineer,Spain,São Paulo,employee22@example.com,-4360,12/02/2014,100569,12958,FALSE,C,TRUE,Full-time,On Leave,08/12/2019
23,Noah,Smith,Female,40,Sales,Analyst,Colombia,Mumbai,employee23@example.com,-3153,08/03/2012,108356,16963,TRUE,C,TRUE,Contract,Active,24/02/2016
24,Emma,Johnson,Female,34,IT,Analyst,Canada,Bogotá,employee24@example.com,-5222,05/04/2021,39122,12999,TRUE,A,FALSE,Full-time,Active,14/09/2015
25,Sofia,Lopez,Female,60,Legal,Analyst,USA,New York,employee25@example.com,-9058,21/05/2018,72522,11587,FALSE,D,TRUE,Full-time,Active,15/06/2020
26,Alex,Brown,Female,27,Finance,Analyst,Canada,Berlin,employee26@example.com,-5511,03/05/2013,75389,19366,FALSE,D,FALSE,Contract,Active,14/09/2016
27,Noah,Lopez,Female,40,Operations,Assistant,USA,Berlin,employee27@example.com,-9681,21/01/2014,40462,546,FALSE,C,TRUE,Part-time,Terminated,19/01/2023
28,Noah,Garcia,Female,48,Marketing,Engineer,Japan,London,employee28@example.com,-2366,19/12/2010,69447,11176,FALSE,C,TRUE,Part-time,Active,19/05/2020
29,Ava,Brown,Female,29,Legal,Analyst,Germany,Bogotá,employee29@example.com,-2515,14/08/2018,78479,14948,FALSE,B,TRUE,Full-time,Active,18/05/2019
30,Liam,Miller,Female,35,Legal,Consultant,Germany,Tokyo,employee30@example.com,-2919,23/04/2021,61840,6933,TRUE,C,TRUE,Part-time,Active,26/09/2021
31,Alex,Davis,Female,59,Sales,Coordinator,India,Toronto,employee31@example.com,-4229,04/05/2014,114512,7232,FALSE,A,TRUE,Part-time,On Leave,26/05/2020
32,Ethan,Johnson,Female,50,Customer Support,Engineer,France,Paris,employee32@example.com,-6027,06/08/2020,101846,15046,FALSE,B,FALSE,Full-time,Active,18/12/2017
33,Ava,Garcia,Female,41,IT,Assistant,UK,Tokyo,employee33@example.com,-2778,09/12/2015,116819,8207,FALSE,C,FALSE,Part-time,Active,14/11/2022
34,John,Garcia,Male,35,Customer Support,Engineer,UK,Tokyo,employee34@example.com,-8865,21/09/2017,99308,1935,TRUE,B,FALSE,Contract,Active,15/07/2018
35,Olivia,Jones,Male,23,IT,Engineer,India,London,employee35@example.com,-3290,20/09/2015,44553,16742,FALSE,A,FALSE,Full-time,Active,06/03/2016
36,Ethan,Jones,Female,41,Legal,Engineer,India,Toronto,employee36@example.com,-3492,24/11/2020,80415,8149,TRUE,D,FALSE,Part-time,Terminated,19/12/2017
